"Disease associations with neoplasmsC/ ondition","Neoplasm"
"1. Down syndrome","1. ALL (we ALL fall Down),AML"
"2. Xeroderma pigmentosum, albinism","2. Melanoma, basal cell
carcinoma, and especially
squamous cell carcinomas
of skin"
"3. Chronic atrophic gastritis, pernicious anemia, 
postsurgical gastric remnants","3. Gastric adenocarcinoma"
"4. Tuberous sclerosis (facial angiofibroma, seizures, 
Mental retardation) ","4. Astrocytoma, angiomyolipoma, and cardiac
Rhabdomyoma"
"5. Actinic keratosis","5. Squamous cell carcinoma
of skin"
"6. Barrett’s esophagus (chronic GI reflux)","6. Esophageal adenocarcinoma"
"7. Plummer-Vinson syndrome (atrophic glossitis,esophageal webs, anemia; all due to iron deficiency)","7. Squamous cell carcinoma of esophagus"
"8. Cirrhosis (alcoholic, hepatitis B or C)","8. Hepatocellular carcinoma"
"9. Ulcerative colitis","9. Colonic adenocarcinoma"
"10. Paget’s disease of bone","10. 2° osteosarcoma and
Fibrosarcoma"
"11. Immunodeficiency states","11. Malignant lymphomas"
"12. AIDS","12. Aggressive malignant
lymphomas (non-Hodgkin’s)
and Kaposi’s sarcoma"
"13. Autoimmune diseases (e.g., Hashimoto’s thyroiditis, myasthenia gravis)","13. Benign and malignant lymphomas"
"14. Acanthosis nigricans (hyperpigmentation and epidermal thickening)","14. Visceral malignancy (stomach, lung, breast,
Uterus)"
"15. Dysplastic nevus","15. Malignant melanoma"
"16. Radiation exposure","16. Sarcoma"
