,
"HTLV-1 ","Adult T-cell leukemia"
"HBV, HCV","Hepatocellular carcinoma"
"EBV","Burkitt’s lymphoma, nasopharyngeal carcinoma"
"HPV","HPV Cervical carcinoma (16, 18), penile/anal carcinoma"
"HHV-8 (Kaposi’s","HHV-8 ( Kaposi’s sarcoma, body cavity fluid B-cell"
"sarcoma–associated lymphoma herpesvirus)","sarcoma–associated lymphoma"
"Chemical carcinogens  Toxin ","Affected organ "
"Aflatoxins","Liver (hepatocellular carcinoma)"
"Vinyl chloride","Liver (angiosarcoma)"
"Ccl4","Liver (centrilobular necrosis, fatty change)"
"Nitrosamines (e.g., in smoked foods)","Esophagus, stomach"
"Cigarette smoke","Larynx, lung, renal cell carcinoma, transitional cell carcinoma"
"Asbestos","Lung (mesothelioma and bronchogenic carcinoma)"
"Arsenic","Skin (squamous cell carcinoma)"
"Naphthalene (aniline) dyes","Bladder (transitional cell carcinoma)"
"Alkylating agents","Blood (leukemia)"
